ID,CALL,CN,TYPE
06DDB084,D-0403,P5,DG500
DDF115,D-KRYS,ER,Duo Discus xlt
DDB002,D-2935,IOO,Duo Discus
DD86EB,D-8884,2D,Duo Discus
DD8203,D-KMTE,TE,Stemme S10
